arr_observation_id,company_id,article_id,observation_date,arr_usd,arr_raw_value,arr_currency,arr_is_range
ARR-9B53A18CB061E2B20CE0BB86,COMP-11F3242118FF2ADD,ART-61ECFE58AF9910B5,2023-01-08,71000000000,$71.000B,USD,False
ARR-5EEB00B6C92E5A5225A78C9F,COMP-F4E821747C88DE40,ART-1252A1CC588AD92C,2021-10-13,4300000000,$4300.0 million,USD,False
ARR-CE35ECF22C3A76D281E17DED,COMP-54AADC94970AD31E,ART-688824E0612A281E,2022-12-13,1700000000,"¥255,000,000,000",JPY,False
ARR-36FEBD9338D3B6AF5B613899,COMP-3DA36D688D43678F,ART-4ACD0CDB5E6CA0E7,2021-11-03,340000000,$340.0M,USD,False
ARR-3A3E10B6F2ACFCA9DC6A4D86,COMP-D7B6461815275268,ART-D20295A641A24B8D,2020-07-20,145000000,"$145,000,000",USD,False
ARR-584FD17D8C77AC2BCEFD6755,COMP-F4E821747C88DE40,ART-309240CDB3CE3002,2021-05-15,3450000000,$3450.0 million,USD,False
ARR-C210859FE657C97F04F92DFC,COMP-A5B966CDCB605CA4,ART-B0B7EB5DADC65E4E,2020-10-20,500000000,"¥75,000,000,000",JPY,False
ARR-E063C3104EEEBCBD03C5EBD7,COMP-6D785501E2B59644,ART-B8E63A93663D892F,2021-08-28,4200000000,"$4,200,000,000",USD,False
ARR-0A89A1E517C0D5C0E14DC29F,COMP-7AD8A9012E991995,ART-72D0F118485F1220,2022-10-14,295000000,295.0M USD,USD,False
ARR-FB9EDA3306F2363563604D37,COMP-3DA36D688D43678F,ART-ADEF0E43465EE9DA,2023-07-09,735000000,$735.0 million,USD,False
ARR-CA8B16FB4014413545146B7B,COMP-D3E00D24B34937E8,ART-A7DE9AE33F4CF7CE,2020-09-27,45500000000,$45.500 billion,USD,False
ARR-2C947B6CFDE176F6E048A605,COMP-A5A4E8E5266709E9,ART-2C68425BB052E24F,2020-03-06,145000000,"£114,173,228",GBP,False
ARR-AE2D087FEFB4E5E2628FD84D,COMP-6D785501E2B59644,ART-CF8F7EC68457D50D,2023-08-10,7400000000,"¥1,110,000,000,000",JPY,False
ARR-875F61A0BCFE8B84CAFBDAB1,COMP-A5B966CDCB605CA4,ART-96986525D7DDAC40,2022-04-15,875000000,"€795,454,545",EUR,False
ARR-20C7C442B8C1AF69E5D84C0D,COMP-B780A23B530EF6BB,ART-BC13208B9B5AF273,2021-07-19,45000000,"$45,000,000",USD,False
ARR-44DE09D20F48F280A85BB030,COMP-EFD12553D6A4F7E5,ART-AC4C312BB813C19F,2023-02-09,82000000000,$82000.0 million,USD,False
ARR-99144549C10581EA5A7EA76F,COMP-11F3242118FF2ADD,ART-429F1D2BA8AAC7DE,2021-05-28,52500000000,$52.500B,USD,False
ARR-BA53C488805BD5D7C0298BE6,COMP-F0C6ACFF24BC7941,ART-54E1EF39C5D1CD55,2023-06-13,1560000000,$1.560B,USD,False
ARR-26600C77E823AA1794E55B1D,COMP-D7B6461815275268,ART-C22138CACB9B8CFB,2021-10-21,410000000,"¥61,500,000,000",JPY,False
ARR-756805499DAC1766055EF6A9,COMP-4D08EC58743327BA,ART-C1E22797EAE7EC2B,2021-10-02,1550000000,$1.550B,USD,False
ARR-6B73D8A382F60AC918245118,COMP-6D785501E2B59644,ART-91051AE0A4841C06,2023-02-13,6600000000,"£5,196,850,394",GBP,False
ARR-F790BB51E3CA1D7FD7BB9989,COMP-65AAA4A1B46C7F71,ART-00F5E7A784981F0F,2022-05-28,655000000,$0.655 billion,USD,False
ARR-7BEE9179A48D4E7364FC0557,COMP-A19EE5A9FDC19109,ART-AC15C925483F086C,2020-10-20,95000000,$90.2M - $99.8M,USD,True
ARR-3859D3E555828A4EF7365746,COMP-54AADC94970AD31E,ART-90F5009EB007364A,2022-05-18,1550000000,"£1,220,472,441",GBP,False
ARR-31CD8BD3761CE4C697899815,COMP-A5B966CDCB605CA4,ART-6D3ED86C9FA5749C,2023-09-28,1260000000,$1.260 billion,USD,False
ARR-63076D0DD944D4F2D1AF0C4F,COMP-4D08EC58743327BA,ART-42A3A188FC6D62E4,2020-01-16,720000000,$720.0M,USD,False
ARR-58D934D1C09F5A38EC6DEABA,COMP-A19EE5A9FDC19109,ART-0B05A60DB1577EE4,2020-06-08,75000000,$75.0M,USD,False
ARR-057130445408138C9FAD78C6,COMP-4D08EC58743327BA,ART-21BA3424FAD8A9D0,2020-06-05,780000000,$780.0 million,USD,False
ARR-A46A08950BB190483F76D5AB,COMP-54AADC94970AD31E,ART-D039FC91A02D42FA,2023-08-27,2100000000,"¥315,000,000,000",JPY,False
ARR-4299A86042BBCD4CA170B6C2,COMP-F0C6ACFF24BC7941,ART-84C0099745C5DFC7,2020-12-19,650000000,"€590,909,091",EUR,False
ARR-75845F032FE0B9ACA93A5A60,COMP-11F3242118FF2ADD,ART-9EA1DD59EA8397DF,2023-12-10,78000000000,"$78,000,000,000",USD,False
ARR-7A59ED63FA456A9C9E547376,COMP-4D08EC58743327BA,ART-570E7ACE3CF912EE,2021-01-28,1050000001,"€954,545,455",EUR,False
ARR-F7074306226A00C6AC90D7F9,COMP-D3E00D24B34937E8,ART-0DDE43CEFEC66557,2023-11-19,95000000000,"¥14,250,000,000,000",JPY,False
ARR-A62EFE3206F9EB5E06AA1D04,COMP-088472395B269710,ART-8185A41606A0CD1B,2021-04-05,15000000000,"£11,811,023,622",GBP,False
ARR-F597DC7177EA9FCA2FD0F109,COMP-EFD12553D6A4F7E5,ART-062E65823A58EF25,2020-10-10,26000000000,$24700.0M - $27300.0M,USD,True
ARR-1D20D7F7D64B504703CD5ED0,COMP-D3E00D24B34937E8,ART-C7B748853902E4F3,2022-07-09,78000000000,"£61,417,322,835",GBP,False
ARR-479C2C9C110849E02EE97DAB,COMP-6D785501E2B59644,ART-EBB050A63FA3EF42,2020-02-27,2600000000,"$2,600,000,000",USD,False
ARR-2D6BFB39CF31643C4CC575BD,COMP-A5B966CDCB605CA4,ART-672929EF9B881E96,2023-06-14,1180000000,$1.180B,USD,False
ARR-D5627808F0893017DC56AB5E,COMP-F4E821747C88DE40,ART-BC1ED4270F26CC0C,2023-06-29,7600000000,$7220.0M - $7980.0M,USD,True
ARR-F0CF7C0C3A84F18A534A7157,COMP-F4E821747C88DE40,ART-279C8FFE91A1C161,2023-06-13,7600000000,$7.600B,USD,False
ARR-4F9B6F70827F2C84709C904D,COMP-296ABB15D702EA5D,ART-0304920D6ECCD89F,2022-03-10,1010000000,"$1,010,000,000",USD,False
ARR-8CB4972CDFE6D4CFBCEFA0AD,COMP-54AADC94970AD31E,ART-D09F897468B204D3,2021-08-23,1320000000,$1.320B,USD,False
ARR-EBA04232A3A44FE914C5035B,COMP-F0C6ACFF24BC7941,ART-B075FF2C516F1F49,2020-06-18,540000000,"€490,909,091",EUR,False
ARR-8E15CD293D11F316D73DBA48,COMP-2D3DAD417C3B2CB2,ART-5ECDA029B3849FEE,2020-04-27,420000000,$420.0 million,USD,False
ARR-CD691D9894488B85254ADAC8,COMP-11F3242118FF2ADD,ART-DBF1304C1C389403,2021-04-28,52500000000,"¥7,875,000,000,000",JPY,False
ARR-190863B91CC3C8312B31E26F,COMP-65AAA4A1B46C7F71,ART-7D4EE3A318DDA7FC,2022-12-20,735000000,"$735,000,000",USD,False
ARR-4CBC3AE8C156D62872B540A0,COMP-296ABB15D702EA5D,ART-B4146B6E98E592C9,2021-06-20,890000000,$890.0 million,USD,False
ARR-7697907E1802949A06494F07,COMP-D7B6461815275268,ART-FB7F5C938D5AD65E,2021-10-16,410000000,$410.0 million,USD,False
ARR-0CDC2997AA3D0CDB97443592,COMP-6D785501E2B59644,ART-AB71FE2BADB6EA24,2021-04-04,3800000001,"€3,454,545,455",EUR,False
ARR-A0506205618D1C791585206A,COMP-7AD8A9012E991995,ART-220766564008F25D,2020-07-10,170000000,170.0M USD,USD,False
ARR-12D7DF70DC30F8BEF375E939,COMP-3DA36D688D43678F,ART-7D377CDDD4B5E435,2021-06-26,260000000,$0.260 billion,USD,False
ARR-687163B5F2624F91D77D903E,COMP-B780A23B530EF6BB,ART-F2B3B24A1B8EBBC3,2022-02-25,95000000,$95.0M,USD,False
ARR-BFA21597C5B40DA49155ABDF,COMP-A5B966CDCB605CA4,ART-2D4F3D2D6781A242,2022-10-15,1010000000,"$1,010,000,000",USD,False
ARR-CFA17AEB6D134C252EA17083,COMP-296ABB15D702EA5D,ART-4B1B0AC8B8B031B7,2022-01-12,1010000000,1010.0M USD,USD,False
ARR-2AFA1DA24EA401E697C9ED78,COMP-296ABB15D702EA5D,ART-67CFD88D542E8B6C,2023-12-22,1250000000,$1.250B,USD,False
ARR-B8580E43B58723FD1DBD9E81,COMP-11F3242118FF2ADD,ART-8E947E1E2F1E8E18,2021-05-11,52500000000,"£41,338,582,677",GBP,False
ARR-4B8FA40E76FC1C0322AB44D8,COMP-A19EE5A9FDC19109,ART-A29EF655F0FA1480,2020-11-19,95000000,$0.095 billion,USD,False
ARR-4DED609B6BA2C920600CD814,COMP-B780A23B530EF6BB,ART-7C35DD5844C60538,2021-09-03,45000000,$42.8M - $47.2M,USD,True
ARR-3BF580B1E5E6732852240E4E,COMP-4D08EC58743327BA,ART-E96AB7AF81768AF0,2022-07-28,1900000000,1900.0M USD,USD,False
ARR-8EDA1E50EAE28D72DFDD7D09,COMP-F4E821747C88DE40,ART-6E69FCED660D26B1,2021-11-02,4300000000,$4.300B,USD,False
ARR-E64995E496987B410E26345A,COMP-F1905B7E8DD98927,ART-399E95598ED784A6,2022-10-26,25000000000,$25.000B,USD,False
ARR-388CEF30B7232717E572D6FF,COMP-F0C6ACFF24BC7941,ART-70B33B8482C7F052,2023-03-18,1480000000,1480.0M USD,USD,False
ARR-4A370AC0B1F8B4B32FF9D30C,COMP-EFD12553D6A4F7E5,ART-596B64980D32A366,2020-05-29,24500000000,$24.500B,USD,False
ARR-4E98C8FFCD5A5952F77925BA,COMP-F4E821747C88DE40,ART-248F792D7049E623,2022-02-15,5000000000,$5.000B,USD,False
ARR-D606CE8CD29C86836FEB9833,COMP-088472395B269710,ART-1DF9AE0835555D5B,2020-05-17,11200000000,"$11,200,000,000",USD,False
ARR-9C96C2F73037517AD44DA652,COMP-B780A23B530EF6BB,ART-CBB5025A6E7A3286,2022-10-28,250000000,$0.250 billion,USD,False
ARR-DCD3BE0FABC662C62FB30E51,COMP-4D08EC58743327BA,ART-92AF90809B244588,2022-05-02,1820000000,$1.820B,USD,False
ARR-B83A67F3888164D1E4777DE4,COMP-B780A23B530EF6BB,ART-89FC8015BE65F16E,2022-04-25,130000000,$130.0M,USD,False
ARR-35AC0F75BD634D501BD5E6AF,COMP-EFD12553D6A4F7E5,ART-862F49EEAF7D5F1D,2020-08-28,25200000000,$23940.0M - $26460.0M,USD,True
ARR-2AF6AB001935FF72D7623F2C,COMP-65AAA4A1B46C7F71,ART-44CEE1C96EA6C7F8,2020-10-25,340000000,$340.0M,USD,False
ARR-5158EFD40485DB38AE965959,COMP-11F3242118FF2ADD,ART-932BD8BCD9A2B081,2023-01-24,71000000000,$71.000B,USD,False
ARR-AD6C258B658F7EA31ACF31CC,COMP-11F3242118FF2ADD,ART-54AB8F46EB480ABF,2021-04-18,52500000000,"$52,500,000,000",USD,False
ARR-892ECA93B2A17E978376E578,COMP-A5B966CDCB605CA4,ART-78C94CA50CDA5946,2020-01-14,390000000,$370.5M - $409.5M,USD,True
ARR-FA6A75817018C749F5F34A93,COMP-A5B966CDCB605CA4,ART-9966774431B8EFC6,2023-08-13,1260000000,$1.260B,USD,False
ARR-BEDE481D312359464170941B,COMP-D7B6461815275268,ART-81DED35056CEE9F1,2021-07-28,340000000,$340.0M,USD,False
ARR-00537E469E0C5E566F8A7F79,COMP-D7B6461815275268,ART-7085E0B8AF82D0C1,2020-11-28,175000001,"£137,795,276",GBP,False
ARR-10A700CD822534CCE8DEDB07,COMP-F0C6ACFF24BC7941,ART-EB72D853712825D6,2021-12-09,990000000,990.0M USD,USD,False
ARR-77A310C8F0304E1EC870003B,COMP-A19EE5A9FDC19109,ART-EE10845A31A6B6C9,2021-07-13,240000000,240.0M USD,USD,False
ARR-7AEF3152AA22FD82C753FD48,COMP-7AD8A9012E991995,ART-B1A4F194D936DF2E,2021-05-19,245000000,"£192,913,386",GBP,False
ARR-E7D48510A0C580648472F3E6,COMP-65AAA4A1B46C7F71,ART-3C2B153E64F56121,2020-12-13,340000000,"¥51,000,000,000",JPY,False
ARR-53F53F21F3B703229B8575C1,COMP-296ABB15D702EA5D,ART-6D54B19D2459EAE3,2022-01-06,1010000000,$1.010B,USD,False
ARR-3D98FCF230340439195B967F,COMP-65AAA4A1B46C7F71,ART-F147E965D57FC3DA,2023-10-19,980000000,$980.0M,USD,False
ARR-788939C821248A50F130543A,COMP-296ABB15D702EA5D,ART-F260B4B4B2C9B1D8,2023-11-09,1250000000,"€1,136,363,636",EUR,False
ARR-488B1E170A8730307A851342,COMP-4D08EC58743327BA,ART-7A27D3DDC0DB36B0,2021-09-06,1380000000,$1.380B,USD,False
ARR-1A4A51F7315B00525D38EF01,COMP-65AAA4A1B46C7F71,ART-EAEB7348750A6338,2022-03-07,600000000,$570.0M - $630.0M,USD,True
ARR-05727DB839847EDF22810B96,COMP-FDA76B0BCC1E87CF,ART-4FD454393A0BC4D0,2023-04-23,2520000000,$2520.0 million,USD,False
ARR-5F2E3F4CBF2DD936F2F80F53,COMP-F4E821747C88DE40,ART-58F82DE5A5348700,2020-10-09,2600000000,$2600.0 million,USD,False
ARR-91EF0FB24AB817E3CC023F26,COMP-65AAA4A1B46C7F71,ART-48CD10B4BAE11518,2021-03-27,390000000,"¥58,500,000,000",JPY,False
ARR-B64F63CCAB98D1720D127D9B,COMP-296ABB15D702EA5D,ART-DAFF3752794B8655,2020-08-19,700000000,"¥105,000,000,000",JPY,False
ARR-B130E8B7B6925040613016DB,COMP-3DA36D688D43678F,ART-A8975E5A9BA6E87D,2021-09-01,305000000,$305.0M,USD,False
ARR-A39353BE1CD3E6BB52B82F50,COMP-7AD8A9012E991995,ART-5AEFF2699D85A493,2022-05-26,315000000,$299.2M - $330.8M,USD,True
ARR-0750E7A37E2F619C06FEAFDE,COMP-FDA76B0BCC1E87CF,ART-4BA2801FD69D49A3,2023-03-18,2350000000,$2.350 billion,USD,False
ARR-8D09B647B9EF9081FCB1D29B,COMP-3DA36D688D43678F,ART-215D87E3AC70C4D2,2020-02-03,100000000,$100.0 million,USD,False
ARR-AB0F9574C298B9571BE53BEE,COMP-3DA36D688D43678F,ART-837EADAFCFF43F05,2023-12-12,760000000,$722.0M - $798.0M,USD,True
ARR-0FF55F3B943B72E04B977C50,COMP-4D08EC58743327BA,ART-92004A37BACBA950,2022-05-14,1820000000,$1.820B,USD,False
ARR-AD0E085E15430BFCE9DE7938,COMP-11F3242118FF2ADD,ART-B4BE2525C74E0735,2020-09-29,44500000000,"¥6,675,000,000,000",JPY,False
ARR-6CEAAF052BC4421F38C95B9D,COMP-F4E821747C88DE40,ART-B065C3ED7B93DC3B,2023-11-07,8500000000,"£6,692,913,386",GBP,False
ARR-BCC26D84973519BD7738070C,COMP-088472395B269710,ART-DED15B05D59AAFA3,2023-05-15,36000000000,$34200.0M - $37800.0M,USD,True
ARR-33DBBBB9212BB45A2C189417,COMP-FDA76B0BCC1E87CF,ART-7AC1792B1ACDC183,2020-04-21,620000000,$589.0M - $651.0M,USD,True
ARR-84D46863503E4F74278FB11C,COMP-F1905B7E8DD98927,ART-EFA9F68D7CB48E41,2022-05-11,25000000000,"$25,000,000,000",USD,False
ARR-CED4A9C3B94EED3429681650,COMP-B780A23B530EF6BB,ART-A3164C8AF91F485F,2022-03-11,95000000,$90.2M - $99.8M,USD,True
ARR-4CDA2F90CD0FBC0E77C79EB3,COMP-F4E821747C88DE40,ART-B640D9C54DCA95CA,2022-07-17,6100000000,"$6,100,000,000",USD,False
ARR-A0C774DE91D80697F269FAA6,COMP-65AAA4A1B46C7F71,ART-9DF1EC8390EADCCB,2020-06-06,285000000,"€259,090,909",EUR,False
ARR-22476B09B2CBC97453250C79,COMP-A5A4E8E5266709E9,ART-15AA0A35899F491A,2022-11-08,1130000001,"£889,763,780",GBP,False
ARR-348A83D7FB5840E81C390E71,COMP-296ABB15D702EA5D,ART-A41308C4D4C55F8F,2023-09-04,1200000000,$1.200B,USD,False
ARR-805AE072D41F6FD4F2F50D7A,COMP-D3E00D24B34937E8,ART-54F60C0241E7B8A6,2022-11-22,81000000000,"€73,636,363,636",EUR,False
ARR-1C1376B0F5FE8352F7F7DDD7,COMP-EFD12553D6A4F7E5,ART-B4015E8208B6CE32,2023-02-28,82000000000,"£64,566,929,134",GBP,False
ARR-EB3BD68DFA799FFF4FD5C5DA,COMP-088472395B269710,ART-3D0B9A0D5CFE9099,2022-04-25,17800000000,$16910.0M - $18690.0M,USD,True
ARR-C301DB3B222CDDAF97803F7F,COMP-65AAA4A1B46C7F71,ART-EAA4241F84E21450,2020-05-07,285000000,"€259,090,909",EUR,False
ARR-42CA1F3B95FD15F9DE16C6A6,COMP-54AADC94970AD31E,ART-F806A9443968C7E4,2022-06-08,1550000000,"€1,409,090,909",EUR,False
ARR-8E607C96FE1D2E8025BDD243,COMP-F1905B7E8DD98927,ART-DFE77713F8FEF698,2020-04-10,10200000000,"£8,031,496,063",GBP,False
ARR-B6269B572E4B2E7CD6BCC979,COMP-A5A4E8E5266709E9,ART-6052DF0B9FE33D96,2020-07-27,165000000,$165.0M,USD,False
ARR-164FD36CA5FA9324F3B4BF16,COMP-65AAA4A1B46C7F71,ART-478E7C4217A37D1B,2021-06-14,455000000,$455.0M,USD,False
ARR-B6FFF1FD5023C357C9291AF8,COMP-65AAA4A1B46C7F71,ART-F16A571F91E17C28,2022-03-19,600000000,$600.0M,USD,False
ARR-F1F88764C1A78428C96AF16B,COMP-D3E00D24B34937E8,ART-F414C4A51B124493,2021-10-15,65000000000,"¥9,750,000,000,000",JPY,False
ARR-E1293CCD764FFAE05175DE33,COMP-D3E00D24B34937E8,ART-0FD4C57A6C7745B7,2021-05-22,58000000000,$58000.0 million,USD,False
ARR-DF36827F6560D836E74D0DB8,COMP-B780A23B530EF6BB,ART-77611231FE193BF4,2023-05-17,380000000,$380.0 million,USD,False
ARR-EEF15E3787D750555D2A90D2,COMP-B780A23B530EF6BB,ART-02C6691171A37E13,2020-10-29,12000000,"€10,909,091",EUR,False
ARR-D38E405CC21302182EAFB1F5,COMP-4D08EC58743327BA,ART-D1BE34189F809E48,2021-10-22,1550000000,$1.550B,USD,False
ARR-4E488BE511B444F207B05421,COMP-FDA76B0BCC1E87CF,ART-DC9C708EE9471EF9,2023-11-11,2800000000,$2800.0 million,USD,False
ARR-52DB4074F48A6CB1F7B8D9A2,COMP-3DA36D688D43678F,ART-544B8FE939D386E8,2020-08-01,135000000,"€122,727,273",EUR,False
ARR-81A4BF920E75CD8FF201C6A0,COMP-3DA36D688D43678F,ART-2D634D2A21061489,2021-11-18,340000000,$340.0M,USD,False
ARR-1B8017A4A8B9C995CB3CEA31,COMP-4D08EC58743327BA,ART-35BAFD50B1F5B83D,2023-06-10,2600000000,"$2,600,000,000",USD,False
ARR-652562CFE070122EFD4833B4,COMP-F4E821747C88DE40,ART-27712C389B7F6660,2023-02-08,7000000000,$7.000B,USD,False
ARR-39421A3B41D11540138B9F36,COMP-11F3242118FF2ADD,ART-15B26C98938C7DBF,2022-01-08,61000000000,"$61,000,000,000",USD,False
ARR-E2F56C248AB47159C570167B,COMP-B780A23B530EF6BB,ART-F72EB9CB3E9F3CA5,2022-06-19,130000000,$130.0M,USD,False
ARR-1B157C9C1C6AF73BBB5E4CDE,COMP-65AAA4A1B46C7F71,ART-58606AEA91F59F9E,2023-02-07,790000000,"¥118,500,000,000",JPY,False
ARR-DA9EA11AB4EA525180A74915,COMP-F0C6ACFF24BC7941,ART-B98199EEF3583566,2022-11-24,1380000000,$1.380B,USD,False
ARR-576DEF2C3EF6836177631E5F,COMP-D7B6461815275268,ART-B94F7472AC56CE50,2022-06-10,610000000,"£480,314,961",GBP,False
ARR-C7286B17DF718BB76259ECEF,COMP-FDA76B0BCC1E87CF,ART-3EC3CD8058A33E49,2022-10-03,2180000000,$2.180 billion,USD,False
ARR-77C9A08371B90C2A40996D8D,COMP-EFD12553D6A4F7E5,ART-C29B4C9F4BBD6D73,2021-03-08,31000000000,$31.000B,USD,False
ARR-0D707C92A88B912BD208DCCC,COMP-F0C6ACFF24BC7941,ART-5D451CD094743D5C,2020-02-29,500000000,"¥75,000,000,000",JPY,False
ARR-15FA3B4EB82E023938E5B503,COMP-D3E00D24B34937E8,ART-EDF1898C1221DAC3,2023-11-11,95000000000,$95.000B,USD,False
ARR-DBE449BDC4AADECEADCF460A,COMP-3DA36D688D43678F,ART-ACD0D4199FF3E5F2,2022-11-17,570000000,$570.0M,USD,False
ARR-5FCC73DD428EF617BF62BE77,COMP-3DA36D688D43678F,ART-083FC7DE3009E07B,2022-05-17,430000000,$408.5M - $451.5M,USD,True
ARR-29A16551E682B5CEDC851359,COMP-F0C6ACFF24BC7941,ART-6BE1A23A83D1DFB3,2022-02-05,1080000000,"€981,818,182",EUR,False
